d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
3,3,2206,801,77,37,3,4,2488,1051,0,0,0
29,46,1501,2480,91,108,1,0,2285,3141,16,49,0
25,34,3706,5929,114,124,0,0,6897,8827,10,17,0
44,36,2557,2383,124,121,0,0,2914,2834,36,35,1
64,49,2327,2459,125,125,0,0,3048,3002,50,48,1
42,75,1864,2322,118,124,1,0,2689,3050,36,27,0
55,39,2195,2098,123,119,0,0,2938,2649,29,82,1
86,77,2674,2530,125,125,0,0,3120,3619,51,31,1
6,8,1316,2256,16,39,7,0,652,1885,4,34,0
17,7,4493,2638,79,67,0,0,4589,3494,9,6,1
27,21,4804,3418,125,121,0,0,6116,5348,19,10,1
31,42,1697,2531,93,101,0,0,2322,2886,22,39,0
52,76,2221,2447,119,106,1,2,2297,2533,19,31,0
51,13,2221,1073,91,62,0,0,2551,1331,4,2,1
48,39,2036,1958,106,96,0,6,2686,2170,14,66,1
48,61,2053,1962,116,118,0,0,2701,2807,15,11,1
29,40,4508,5344,124,125,0,0,7121,7631,13,12,0
34,9,2199,1113,72,49,0,4,2267,1229,27,19,1
