d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
37,18,2370,1710,100,84,0,0,3017,2170,53,42,111462,77959,19746,1215,1
52,51,2904,3021,124,125,0,0,3821,3903,36,59,177336,201189,9287,28948,0
4,19,1197,2233,24,21,0,0,1175,1012,4,6,3448,13451,128,10009,0
13,47,1495,2954,80,107,0,0,1927,3286,40,39,62709,99277,508,18458,0
16,31,1903,1940,68,83,6,0,1876,2607,30,40,49289,81867,575,15047,0
30,25,5054,3900,125,117,0,0,8848,6511,16,12,124500,70842,10616,1039,1
