d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
52,57,2449,2667,124,125,0,0,2712,3036,78,61,0
28,41,1762,2366,106,120,0,0,2341,3035,52,44,0
30,26,2342,1706,108,90,0,0,2998,2083,31,58,1
51,40,2455,1950,122,106,0,0,2843,2440,26,48,1
42,60,2414,2438,123,125,0,0,2580,2924,56,30,0
41,32,2582,1791,113,100,0,0,3087,2369,41,13,1
39,24,2492,1950,119,113,0,0,3129,2684,49,29,1
24,40,1912,2501,95,103,1,0,2166,2895,26,57,0
39,41,1900,2209,103,100,0,0,2518,2577,14,52,0
43,34,2276,2202,120,121,0,0,2921,2849,46,42,1
62,55,2463,2244,125,123,0,0,2922,2885,27,33,1
50,51,2664,2753,124,125,0,0,3263,3338,39,69,0
65,66,2463,2412,125,125,0,0,2846,2933,48,21,1
27,45,1553,2329,78,91,0,0,2051,2699,19,75,0
2,0,558,0,14,0,0,0,826,0,15,0,1
55,40,2478,2212,123,121,0,0,2445,2419,39,32,0
25,50,1618,2352,100,108,0,0,2626,3032,28,36,0
47,46,1961,2104,103,121,2,0,2486,2906,7,24,0
47,30,2222,1688,103,89,0,0,2758,1933,42,35,1
