d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
44,29,2298,2052,119,104,0,0,3051,2870,28,72,138622,127131,22830,2782,1
35,39,1844,2328,104,122,0,0,2452,3393,29,30,119683,113542,3332,18465,0
40,19,4729,2901,125,123,0,0,7683,6596,15,7,107370,100068,11213,359,1
45,50,2260,2158,121,120,0,0,2971,3151,37,59,151744,189901,11805,14258,1
61,8,2867,772,92,44,0,0,2981,897,41,17,116028,40152,11420,21,0
35,36,2277,2035,120,119,0,0,2912,2930,30,28,125825,122970,16753,11931,1
