d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
50,31,2243,1624,110,92,0,0,3293,2200,57,38,126661,76452,14076,1312,1
29,29,1860,2240,105,115,0,0,2681,3052,52,60,125530,92579,3888,18833,0
41,29,5143,4282,125,123,0,1,7969,6579,40,37,116698,85474,16605,1227,1
7,26,3212,4943,110,125,0,0,4731,7135,26,19,40863,83730,1213,16823,0
25,13,2458,1648,100,83,0,0,2705,1969,61,35,68890,57875,21184,3444,1
18,32,1638,2643,78,94,0,0,2061,2703,23,56,51876,77612,696,24667,0
33,14,5544,3065,123,103,0,0,8488,5714,22,11,71729,53455,22909,0,1
