d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
18,37,3198,5082,107,125,0,0,5238,7917,21,18,0
53,44,2193,2046,113,113,2,0,2472,2613,24,30,1
62,58,2318,2483,120,124,0,0,2761,2790,35,49,0
47,39,2298,2155,123,118,0,0,2980,2736,61,39,1
41,34,2183,2034,77,90,4,5,2209,2055,15,43,0
17,24,1498,1803,75,89,1,0,1601,2077,59,23,0
19,28,1788,2297,83,90,0,0,2071,2482,51,36,0
35,30,2183,1835,106,95,0,0,2766,2259,44,53,1
22,49,1605,2377,84,102,0,0,2071,2980,41,34,0
55,43,2170,1893,118,119,0,0,2806,2740,29,17,1
45,28,2436,1589,87,69,0,0,2651,1772,47,26,1
6,3,2139,892,61,36,2,5,2086,1063,0,0,0
2,1,962,1259,29,44,5,5,893,1478,0,0,0
39,75,2022,2352,111,115,1,8,2325,2782,30,10,1
50,31,2327,2137,122,100,0,0,3249,2505,47,29,1
51,35,2483,1849,108,87,0,4,3196,2208,26,28,1
62,60,2384,2420,124,125,0,0,2850,2867,43,48,0
33,11,4865,2406,118,99,0,0,5518,3681,8,10,1
47,23,2369,1729,114,102,0,0,2894,2376,65,42,1
