d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
37,43,1890,2401,111,117,0,0,2805,3014,17,37,0
20,46,1448,2411,87,104,0,0,2000,2721,44,75,0
51,45,2418,2327,122,123,0,0,2967,3098,88,54,1
9,53,1293,2285,79,107,0,0,1652,2888,17,21,0
32,54,1630,2253,96,113,0,0,2180,3117,33,56,0
21,55,1515,2189,111,116,0,0,2330,2709,31,43,0
20,34,3347,4407,123,121,0,0,6380,6315,17,5,0
51,48,2388,1934,115,112,0,0,3069,2599,52,39,1
36,36,2526,2397,125,124,4,2,2911,2932,38,42,1
55,55,2083,2167,124,125,0,0,2404,2632,19,49,1
31,39,1866,2477,88,105,1,0,2327,2959,20,42,0
65,45,2239,2056,122,121,0,0,3069,2908,8,20,1
9,1,4800,2433,22,19,0,0,1607,1436,1,2,1
42,23,2157,1879,79,65,0,7,2594,1834,21,28,1
41,48,2327,2484,125,124,0,0,2870,2875,47,28,0
45,18,2284,1391,92,73,0,0,2761,1820,28,43,1
44,15,5747,3200,121,95,0,3,8492,5137,10,7,1
7,36,1825,5638,101,121,0,0,5523,8744,6,44,0
55,38,2214,2180,124,125,0,0,2886,2903,33,50,1
