d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
50,47,2543,2163,123,116,0,0,3296,3163,31,65,149071,129171,24629,4968,1
36,34,2470,2201,123,118,0,0,3164,2909,57,55,148192,118389,16684,4104,1
28,71,1685,2413,108,116,0,0,2803,3206,38,69,113201,135553,23,23475,0
39,50,2271,1990,120,121,2,0,3078,3306,10,26,108268,154439,12294,9500,1
46,48,2485,2218,123,119,0,0,3276,3191,64,44,138698,131963,16950,11688,1
37,11,2571,1461,85,65,0,4,2632,1637,51,44,79853,57233,18348,0,1
