d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
60,44,2534,2231,118,114,0,1,3122,3039,52,26,1
26,61,1750,2404,104,121,0,0,2349,3054,20,36,0
7,3,3572,776,104,49,2,5,3752,1005,0,0,0
26,62,1994,2711,115,125,2,0,2708,3297,72,52,0
67,73,2454,2630,125,125,0,0,2889,3071,57,20,0
36,54,1610,2302,98,107,0,0,2147,2762,31,59,0
33,55,1626,2109,87,105,0,0,2153,2992,23,21,0
40,51,2096,2374,119,124,0,0,2717,3088,54,32,0
55,53,2539,2462,122,125,0,0,3243,3114,23,5,1
59,35,2434,1761,118,96,0,0,3225,2144,27,37,1
28,7,5332,2478,118,96,0,0,9103,5869,21,11,1
36,29,2241,2331,121,124,0,0,2664,2631,78,44,1
40,33,2482,1916,119,112,0,0,2835,2476,50,35,1
57,51,2217,1949,117,100,1,2,2859,2378,6,8,1
46,31,2815,2480,123,118,0,5,3298,3084,29,31,1
40,53,1844,2236,109,120,2,0,2537,2786,17,70,0
28,9,2223,1212,75,58,0,0,2270,1460,46,8,1
35,10,2237,1397,88,74,0,0,2245,1707,59,32,1
11,24,3218,6315,94,103,0,0,5974,7212,9,26,0
