d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
60,49,2283,2652,122,124,0,0,3181,3206,94,15,138638,197348,14385,18790,0
37,19,4854,4184,125,124,0,0,8074,6770,31,11,142801,68637,16226,1805,1
34,21,2459,2009,106,97,0,0,2947,2388,38,46,117879,64631,20959,4160,1
27,38,2002,2307,112,117,0,0,2618,2962,47,61,96967,120870,1466,23066,0
36,30,4167,3940,125,125,0,0,7457,7228,15,28,118920,123137,9966,6590,1
46,49,2348,2614,120,122,0,0,3215,3474,56,41,167987,164298,14077,13781,1
