d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
53,9,2492,1234,104,66,0,0,2962,1361,10,22,1
5,9,1891,3724,61,98,5,2,2083,5217,0,0,0
17,44,1804,2488,76,92,2,3,1869,3024,39,18,0
18,54,1417,2551,83,104,0,0,1990,2996,22,66,0
40,41,2365,2191,105,107,0,0,2700,2469,52,27,1
43,5,2536,1207,95,66,0,0,2791,1487,47,21,1
19,51,1447,2373,88,96,0,2,1929,2626,25,33,0
34,52,2025,2403,117,125,0,0,2619,3056,32,37,0
21,54,1708,2414,96,112,0,0,2568,3252,30,50,0
60,63,2323,2142,125,123,0,0,2984,3025,25,16,1
49,41,2204,2480,123,121,0,0,3024,2932,52,41,0
33,58,1606,2326,90,105,0,0,2053,2925,30,37,0
41,47,2173,2381,118,121,1,0,2599,2871,25,38,0
29,50,1508,2385,86,106,5,0,2330,2986,16,34,0
59,27,2552,1552,112,93,0,1,3177,2393,47,30,1
64,78,2388,2603,119,122,0,0,2631,2966,34,48,0
43,29,2497,2022,115,107,0,0,2967,2529,16,17,1
53,41,2338,2390,123,117,0,0,2938,2799,96,59,1
