d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
40,42,2001,3055,97,112,0,0,2504,3461,23,36,122791,102902,1834,19929,0
42,24,2572,1657,101,88,0,0,3129,2425,42,24,99325,102349,22397,224,1
32,57,2243,2406,117,116,0,0,3137,3207,38,58,147269,154377,2249,19615,0
13,57,1402,2558,86,112,0,0,1774,3030,28,67,63904,114308,693,20954,0
11,44,1558,2211,85,97,1,2,1773,2402,6,42,68089,103717,1921,21389,0
25,57,1588,2661,100,112,0,0,2615,3479,36,41,79560,137558,258,14968,0
32,52,1946,2912,123,125,2,0,2688,3325,60,45,187618,210151,9081,18488,0
