d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
32,3,3076,1156,74,51,0,0,2592,1434,54,47,58680,27494,12342,404,1
4,22,1321,1923,30,47,7,3,867,1980,10,70,18317,28341,79,1684,0
58,68,2439,2616,125,125,0,2,2906,3012,78,49,295689,227136,9208,19988,0
20,44,1598,2535,91,113,0,0,2062,3081,30,38,111252,117796,1557,24223,0
54,28,2159,1732,103,87,0,4,3148,2166,43,39,109672,92743,13414,1625,1
33,42,1827,2428,100,121,1,0,2392,3261,49,49,116458,118155,4879,17372,0
