d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_hero_damage,d_dire_hero_damage,d_rad_tower_damage,d_dire_tower_damage,d_rad_win
51,43,2427,2436,125,123,0,0,3119,2890,60,79,168333,160342,15337,7633,1
36,58,2418,2834,124,125,0,0,2954,3273,40,73,178689,154011,3640,17667,0
24,20,4697,2950,120,105,0,0,7568,5230,14,16,73112,44066,12019,3044,1
52,24,2507,1802,123,100,0,0,3667,2580,41,20,141850,119466,19401,4304,1
40,32,2149,2447,118,122,1,2,2746,2919,44,41,147016,175660,6104,16246,0
18,42,1440,2455,70,91,0,0,1847,2841,13,51,65829,88067,956,23212,0
